Continent,Country,Date of First Case(s),Last Visited Country(s) of Confirmed Case(s),Confirmed Case(s) at First Day,Age of First Case(s),Date of First Death(s),Age of First Death(s),Days_Since_Global_First_Case,First_Case_Month,First_Case_Month_Name,First_Case_Week,First_Case_DayOfYear,First_Case_Quarter,First_Case_Year,Has_Travel_Origin,Origin_Count,Multiple_Origins,Origin,Death_Recorded,Days_To_First_Death,Multiple_First_Day_Cases
Africa,Liberia,2020-03-16,Switzerland,1,,2020-04-04,72,120,3,March,12,76,1,2020,True,1,False,Switzerland,True,19.0,False
Europe,Montenegro,2020-03-17,"Spain, United States",2,"72, 47",2020-03-23,65,121,3,March,12,77,1,2020,True,2,True,Spain,True,6.0,True
Europe,Montenegro,2020-03-17,"Spain, United States",2,"72, 47",2020-03-23,65,121,3,March,12,77,1,2020,True,2,True,United States,True,6.0,True
Africa,Gambia,2020-03-17,United Kingdom,1,,2020-03-23,70,121,3,March,12,77,1,2020,True,1,False,United Kingdom,True,6.0,False
North America,Barbados,2020-03-17,United States,2,"38,39",2020-04-05,81,121,3,March,12,77,1,2020,True,1,False,United States,True,19.0,True
Africa,Zambia,2020-03-18,France,2,,2020-04-02,,122,3,March,12,78,1,2020,True,1,False,France,True,15.0,True
North America,Nicaragua,2020-03-18,Panama,1,40,2020-03-26,,122,3,March,12,78,1,2020,True,1,False,Panama,True,8.0,False
Asia,Kyrgyzstan,2020-03-18,Saudi Arabia,3,,2020-04-03,60,122,3,March,12,78,1,2020,True,1,False,Saudi Arabia,True,16.0,True
Africa,Djibouti,2020-03-18,Spain,1,,2020-04-09,,122,3,March,12,78,1,2020,True,1,False,Spain,True,22.0,False
Africa,Mauritius,2020-03-18,"United Kingdom, Cruise Ship*",3,,2020-03-21,,122,3,March,12,78,1,2020,True,2,True,United Kingdom,True,3.0,True
Africa,Mauritius,2020-03-18,"United Kingdom, Cruise Ship*",3,,2020-03-21,,122,3,March,12,78,1,2020,True,2,True,Cruise Ship*,True,3.0,True
Africa,Chad,2020-03-19,Cameroon,1,,2020-03-19,,123,3,March,12,79,1,2020,True,1,False,Cameroon,True,0.0,False
North America,El Salvador,2020-03-19,Italy,1,,2020-04-01,60,123,3,March,12,79,1,2020,True,1,False,Italy,True,13.0,False
Africa,Niger,2020-03-19,"Togo,Cote d'Ivoire, Burkina Faso",1,36,2020-03-24,63,123,3,March,12,79,1,2020,True,3,True,Togo,True,5.0,False
Africa,Niger,2020-03-19,"Togo,Cote d'Ivoire, Burkina Faso",1,36,2020-03-24,63,123,3,March,12,79,1,2020,True,3,True,Cote d'Ivoire,True,5.0,False
Africa,Niger,2020-03-19,"Togo,Cote d'Ivoire, Burkina Faso",1,36,2020-03-24,63,123,3,March,12,79,1,2020,True,3,True,Burkina Faso,True,5.0,False
Australia,Fiji,2020-03-19,,1,27,,,123,3,March,12,79,1,2020,False,0,False,,False,,False
North America,Haiti,2020-03-19,United States,2,,2020-04-05,55,123,3,March,12,79,1,2020,True,1,False,United States,True,17.0,True
Australia,Papua New Guinea,2020-03-20,Spain,1,45,,,124,3,March,12,80,1,2020,True,1,False,Spain,False,,False
Africa,Madagascar,2020-03-20,,3,,,,124,3,March,12,80,1,2020,False,0,False,,False,,True
Africa,Cabo Verde,2020-03-20,United Kingdom,1,62,2020-03-24,62,124,3,March,12,80,1,2020,True,1,False,United Kingdom,True,4.0,False
Africa,Eritrea,2020-03-21,Norway,1,39,,,125,3,March,12,81,1,2020,True,1,False,Norway,False,,False
Africa,Angola,2020-03-21,Portugal,2,"38,30+",2020-03-30,"59, 37",125,3,March,12,81,1,2020,True,1,False,Portugal,True,9.0,True
Africa,Zimbabwe,2020-03-21,"United Kingdom, South Africa",1,38,2020-03-23,30,125,3,March,12,81,1,2020,True,2,True,United Kingdom,True,2.0,False
Africa,Zimbabwe,2020-03-21,"United Kingdom, South Africa",1,38,2020-03-23,30,125,3,March,12,81,1,2020,True,2,True,South Africa,True,2.0,False
Asia,Timor-Leste,2020-03-21,,1,,,,125,3,March,12,81,1,2020,False,0,False,,False,,False
Africa,Mozambique,2020-03-22,United Kingdom,1,75,,,126,3,March,12,82,1,2020,True,1,False,United Kingdom,False,,False
North America,Grenada,2020-03-22,United Kingdom,1,50,,,126,3,March,12,82,1,2020,True,1,False,United Kingdom,False,,False
North America,Dominica,2020-03-22,United Kingdom,1,54,,,126,3,March,12,82,1,2020,True,1,False,United Kingdom,False,,False
South America,Uganda,2020-03-22,United Arab Emirates,1,36,,,126,3,March,12,82,1,2020,True,1,False,United Arab Emirates,False,,False
Asia,Syria,2020-03-22,,1,20,2020-03-29,,126,3,March,12,82,1,2020,False,0,False,,True,7.0,False
North America,Belize,2020-03-23,United States,1,38,2020-04-07,54,127,3,March,13,83,1,2020,True,1,False,United States,True,15.0,False
Asia,Myanmar,2020-03-23,"United States, United Kingdom",2,"36, 26",2020-03-31,69,127,3,March,13,83,1,2020,True,2,True,United States,True,8.0,True
